letter,count_all,count_uppercase,percentage
a,153,0,8.98
b,39,1,2.29
c,69,14,4.05
d,83,16,4.87
e,186,0,10.92
f,32,0,1.88
g,16,2,0.94
h,20,0,1.17
i,137,11,8.04
j,18,13,1.06
k,16,0,0.94
l,90,0,5.28
m,45,3,2.64
n,88,7,5.17
o,137,0,8.04
p,56,25,3.29
r,111,0,6.52
s,96,5,5.64
t,165,38,9.69
u,53,0,3.11
v,16,5,0.94
w,13,5,0.76
x,13,0,0.76
y,51,6,2.99
